ID,A_HGA
1,0
2,45
3,43
4,40
5,0
6,43
7,39
8,43
9,0
10,0
11,43
12,44
13,45
14,39
15,0
16,0
17,39
18,43
19,43
20,43
21,43
22,0
23,0
24,43
25,44
26,0
27,0
28,45
29,43
30,0
31,0
32,43
33,0
34,43
35,43
36,39
37,39
38,0
39,0
40,39
41,43
42,39
43,39
44,39
45,39
46,0
47,43
48,43
49,43
50,39
51,0
52,39
53,43
54,45
55,40
56,39
57,43
58,43
59,39
60,43
61,39
62,39
63,40
64,39
65,0
66,0
67,43
68,39
69,43
70,40
71,43
72,43
73,43
74,0
75,0
76,43
77,39
78,39
79,43
80,43
81,43
82,43
83,39
84,43
85,0
86,0
87,0
88,0
89,0
90,0
91,39
92,43
93,39
94,39
95,43
96,44
97,43
98,43
99,43
100,40
101,0
102,0
103,0
104,43
105,43
106,43
107,43
108,39
109,43
110,0
111,0
112,0
113,43
114,43
115,39
116,43
117,40
118,39
119,43
120,0
121,39
122,43
123,0
124,0
125,39
126,43
127,43
128,36
129,0
130,39
131,43
132,43
133,0
134,43
135,39
136,0
137,43
138,39
139,0
140,0
141,43
142,43
143,39
144,0
145,39
146,43
147,45
148,39
149,0
150,43
151,39
152,39
153,43
154,39
155,39
156,0
157,43
158,43
159,43
160,40
161,43
162,39
163,39
164,39
165,45
166,43
167,43
168,40
169,0
170,39
171,43
172,43
173,43
174,39
175,39
176,43
177,43
178,43
179,43
180,39
181,43
182,39
183,39
184,39
185,43
186,43
187,43
188,0
189,39
190,43
191,43
192,39
193,43
194,39
195,39
196,43
197,43
198,39
199,39
200,43
201,39
202,39
203,39
204,39
205,39
206,39
207,43
208,43
209,39
210,43
211,39
212,39
213,43
214,39
215,44
216,45
217,0
218,43
219,0
220,39
221,43
222,43
223,39
224,39
225,39
226,39
227,39
228,39
229,0
230,43
231,43
232,39
233,39
234,39
235,43
236,43
237,39
238,39
239,43
240,43
241,43
242,0
243,0
244,0
245,43
246,39
247,39
248,39
249,45
250,43
251,43
252,43
253,43
254,40
255,43
256,43
257,43
258,43
259,40
260,43
261,39
262,43
263,43
264,43
265,44
266,36
267,0
268,0
269,39
270,39
271,43
272,43
273,43
274,43
275,39
276,39
277,39
278,43
279,39
280,39
281,39
282,0
283,39
284,40
285,40
286,39
287,43
288,40
289,39
290,39
291,0
292,39
293,36
294,39
295,43
296,43
297,0
298,0
299,43
300,43
301,0
302,0
303,0
304,0
305,39
306,39
307,43
308,43
309,43
310,44
311,40
312,39
313,43
314,43
315,0
316,43
317,43
318,43
319,43
320,43
321,43
322,43
323,43
324,40
325,45
326,45
327,43
328,43
329,0
330,43
331,43
332,39
333,0
334,43
335,39
336,43
337,43
338,43
339,0
340,0
341,43
342,43
343,43
344,43
345,43
346,0
347,0
348,39
349,39
350,39
351,0
352,39
353,43
354,39
355,39
356,43
357,43
358,45
359,43
360,43
361,43
362,43
363,0
364,43
365,39
366,39
367,43
368,43
369,39
370,39
371,39
372,43
373,43
374,0
375,39
376,39
377,43
378,43
379,43
380,39
381,43
382,40
383,0
384,0
385,43
386,43
387,43
388,40
389,43
390,0
391,0
392,43
393,43
394,43
395,44
396,43
397,43
398,39
399,39
400,43
401,0
402,0
403,45
404,43
405,0
406,43
407,39
408,43
409,43
410,0
411,39
412,39
413,39
414,40
415,39
416,43
417,43
418,39
419,43
420,43
421,43
422,43
423,39
424,43
425,43
426,43
427,43
428,45
429,43
430,43
431,39
432,39
433,43
434,39
435,44
436,43
437,43
